900	400	120	110	800	110	150	500	n
2134	1	90	150	800	120	150	600	n
3244	400	80	60	800	132	150	700	n
1000	400	120	60	213	123	150	200	n
1000	400	111	80	800	143	150	700	n
1000	400	30	90	800	155	150	500	n
1100	400	90	110	800	135	150	998	n
1100	400	110	130	800	177	150	400	n
1100	400	120	115	800	132	150	500	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	12345	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
12455	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
1100	400	150	110	800	144	150	600	n
12	21	12	21	12	21	21	12	n
12	12	12	12	12	12	12	12	n
600	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
0	0	0	0	0	0	0	0	n
